title,author,description,cover_url,genres,year
Biographical Dictionary of the History of Technology,"Lance Day, Ian McNeil","From ancient times to the present day, the major inventors, discoverers and entrepreneurs from around the world are profiled, and their contribution to society is explained and assessed.",http://books.google.com/books/content?id=37UCFL1EvVgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,1998
Splintering Urbanism,"Stephen Graham, Simon Marvin","This text offers an international and interdisciplinary analysis of the complex interactions between infrastructure networks and urban spaces. Drawing on case studies and examples from across the globe, it offers a statement on the urban condition.",http://books.google.com/books/content?id=6IdAAY9xqlgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2001
Natural-born Cyborgs,Andy Clark,About the effects of modern technology on human intelligence.,http://books.google.com/books/content?id=6nw8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,2003
Overhead Power Lines,"Friedrich Kiessling, Peter Nefzger, Joao Felix Nolasco, Ulf Kaintzyk","The only book containing a complete treatment on the construction of electric power lines. Reflecting the changing economic and technical environment of the industry, this publication introduces beginners to the full range of relevant topics of line design and implementation.",http://books.google.com/books/content?id=Zbrq26QZ7LsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Technology & Engineering,2003
Lifelong Kindergarten,Mitchel Resnick,Creative learning -- Projects -- Passion -- Peers -- Play -- Creative society,http://books.google.com/books/content?id=nGYyDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,2017
Critical Theory of Technology,Andrew Feenberg,"This pathbreaking book argues that the roots of the degradation of labor, education, and the environment lie not in technology per se but in the cultural values embodied in its design.",http://books.google.com/books/content?id=jmpRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Language Arts & Disciplines,1991
Science for All Americans,"Floyd James Rutherford, Andrew Ahlgren","In order to compete in the modern world, any society today must rank education in science, mathematics, and technology as one of its highest priorities. It's a sad but true fact, however, that most Americans are not scientifically literate. International studies of educational performance reveal that U.S. students consistently rank near the bottom in science and mathematics. The latest study of the National Assessment of Educational Progress has found that despite some small gains recently, the average performance of seventeen-year-olds in 1986 remained substantially lower than it had been in 1969. As the world approaches the twenty-first century, American schools--when it comes to the advancement of scientific knowledge--seem to be stuck in the Victorian age.In Science for All Americans, F. James Rutherford and Andrew Ahlgren brilliantly tackle this devastating problem. Based on Project 2061, a scientific literacy initiative sponsored by the American Association for the Advancement of Science, this wide-ranging, important volume explores what constitutes scientific literacy in a modern society; the knowledge, skills, and attitudes all students should acquire from their total school experience from kindergarten through high school; and what steps this country must take to begin reforming its system of education in science, mathematics, and technology.Science for All Americans describes the scientifically literate person as one who knows that science, mathematics, and technology are interdependent enterprises with strengths and limitations; who understands key concepts and principles of science; who recognizes both the diversity and unity of the natural world; and who uses scientific knowledge and scientific ways of thinking for personal and social purposes. Its recommendations for educational reform downplay traditional subject categories and instead highlight the connections between them. It also emphasizes ideas and thinking skills over the memorization of specialized vocabulary. For instance, basic scientific literacy means knowing that the chief function of living cells is assembling protein molecules according to the instructions coded in DNA molecules, but does not mean necessarily knowing the terms ""ribosome"" or ""deoxyribonucleic acid.""Science, mathematics, and technology will be at the center of the radical changes in the nature of human existence that will occur during the next life span; therefore, preparing today's children for tomorrow's world must entail a solid education in these areas. Science for All Americans will help pave the way for the necessary reforms in America's schools.",http://books.google.com/books/content?id=UrbaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Language Arts & Disciplines,1990
Virtual Reality,Howard Rheingold,Breaking the reality barrier ; the reality-industrial complex ; virtual reality and the future.,http://books.google.com/books/content?id=hHZQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Computers,1991
A Dictionary of Chemical Engineering,Carl Schaschke,"This new dictionary provides a quick and authoritative point of reference for chemical engineering, covering areas such as materials, energy balances, reactions, and separations. It also includes relevant terms from the areas of chemistry, physics, mathematics, and biology.",http://books.google.com/books/content?id=lm_1AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Reference,2014
The Human Condition,Hannah Arendt,,http://books.google.com/books/content?id=gW9M6ZktZQUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Economics,1958
The Technology Trap,Carl Benedikt Frey,"From the Industrial Revolution to the age of artificial intelligence, Carl Benedikt Frey offers a sweeping account of the history of technological progress and how it has radically shifted the distribution of economic and political power among society's members. As the author shows, the Industrial Revolution created unprecedented wealth and prosperity over the long run, but the immediate consequences of mechanization were devastating for large swaths of the population.These trends broadly mirror those in our current age of automation. But, just as the Industrial Revolution eventually brought about extraordinary benefits for society, artificial intelligence systems have the potential to do the same. Benedikt Frey demonstrates that in the midst of another technological revolution, the lessons of the past can help us to more effectively face the present. --From publisher description.",http://books.google.com/books/content?id=XRjbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2020
The Evolution of Useful Things,Henry Petroski,"In his first book since The Pencil, Petroski looks with affection and awe at how everyday artifacts--from forks and pins to paper clips and zippers--came to be as they are. A mind-opening experience that is fun to read.",http://books.google.com/books/content?id=EZxRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Science,1992
Ullmann's Encyclopedia of Industrial Chemistry,Fritz Ullmann,"Volume B 2, volume B 3.",http://books.google.com/books/content?id=_M9TAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Chemicals,1988
The Scientific Revolution: A Very Short Introduction,Lawrence Principe,"Lawrence M. Principe takes a fresh approach to the story of the scientific revolution, emphasising the historical context of the society and its world view at the time. From astronomy to alchemy and medicine to geology, he tells this fascinating story from the perspective of the historical characters involved.",http://books.google.com/books/content?id=YcRjj7d2mSIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2011
"Technics and Time, 1",Bernard Stiegler,"What is a technical object? At the beginning of Western philosophy, Aristotle contrasted beings formed by nature, which had within themselves a beginning of movement and rest, and man-made objects, which did not have the source of their own production within themselves. This book, the first of three volumes, revises the Aristotelian argument and develops an innovative assessment whereby the technical object can be seen as having an essential, distinct temporality and dynamics of its own. The Aristotelian concept persisted, in one form or another, until Marx, who conceived of the possibility of an evolution of technics. Lodged between mechanics and biology, a technical entity became a complex of heterogeneous forces. In a parallel development, while industrialization was in the process of overthrowing the contemporary order of knowledge as well as contemporary social organization, technology was acquiring a new place in philosophical questioning. Philosophy was for the first time faced with a world in which technical expansion was so widespread that science was becoming more and more subject to the field of instrumentality, with its ends determined by the imperatives of economic struggle or war, and with its epistemic status changing accordingly. The power that emerged from this new relation was unleashed in the course of the two world wars. Working his way through the history of the Aristotelian assessment of technics, the author engages the ideas of a wide range of thinkers--Rousseau, Husserl, and Heidegger, the paleo-ontologist Leroi-Gourhan, the anthropologists Vernant and Detienne, the sociologists Weber and Habermas, and the systems analysts Maturana and Varela.",http://books.google.com/books/content?id=uJdoW2MLdQgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,1998
Analog Integrated Circuits for Communication,"Donald O. Pederson, Kartikeya Mayaram",,http://books.google.com/books/content?id=lbNOlBC7jOwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,1991
Ullmann's Encyclopedia of Industrial Chemistry,"Fritz Ullmann, Wolfgang Gerhartz","Supervised by an internationally acclaimed advisory board, the articles are written by over 3000 international experts from industry and universities, thoroughly edited to uniform style and layout in an in-house office. All figures are re-drawn to give a maximum of clarity and uniformity in style. Compared to the prior edition, almost 600f the material has either been newly written or thoroughly updated. The rest has been checked for validity and newer references have been added throughout.",http://books.google.com/books/content?id=fdVTAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Science,1995
"The Oxford Encyclopedia of the History of American Science, Medicine, and Technology",Hugh Richard Slotten,"Science, medicine, and technology have become increasingly important to the average individual in modern society. The importance of these three fields is in many ways one of the defining characteristics of modernity. Understanding their history is essential for educated individuals. Science, medicine, and technology are not static endeavors but processes, bodies of knowledge, tools, and techniques that are constantly growing and changing. The entries in this encyclopedia explore the changing character of science, medicine, and technology in the United States; the key individuals, institutions, and organizations responsible for major developments; and the concepts, practices, and processes underlying these changes. Especially since the early decades of the twentieth century, American science, medicine, and technology have played dominant roles internationally. Entries explore distinctive characteristics of American institutions and culture that help explain this development.At the same time, the encyclopedia situates specific events, theories, practices, and institutions in their proper historical context and explores their impact on American society and culture. Entries are written by the experts in the field. Students not only from the humanities and social sciences but also from the sciences and the medical sciences should be attracted to the broad-ranging and in-depth analysis in the encyclopedia.",http://books.google.com/books/content?id=zFn8oAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Reference,2014
"Men, Machines, and Sacred Cows","Prince Philip (consort of Elizabeth II, Queen of Great Britain)",,http://books.google.com/books/content?id=jvS4AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Reference,1984
Technology in Comecon,Jozef Wilczynski,,http://books.google.com/books/content?id=I020AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Political Science,1974
A Dictionary of General Knowledge,George Crabb,,http://books.google.com/books/content?id=QQQ2AQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Children's encyclopedias and dictionaries,1830
The End of Work,Jeremy Rifkin,"In this compelling, disturbing, and ultimately hopeful book, Jeremy Rifkin argues that we are entering a new phase in history - one characterised by the steady and inevitable decline of jobs.",http://books.google.com/books/content?id=GjGZEVddXSYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Business & Economics,1995
Standard Handbook for Electrical Engineers,"Donald Fink, H. Wayne Beaty","The Standard Handbook for Electrical Engineers has served the EE field for nearly a century. Originally published in 1907, through 14 previous editions it has been a required resource for students and professionals. This new 15th edition features new material focusing on power generation and power systems operation – two longstanding strengths of the handbook that have recently become front-burner technology issues. At the same time, the entire format of the handbook will be streamlined, removing archaic sections and providing a quick, easy look-up experience.",http://books.google.com/books/content?id=KIhUAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Technology,2006
Ancient Egyptian Materials and Technology,"Paul T. Nicholson, Ian Shaw",The book describes current research into all aspects of craftwork in ancient Egypt.,http://books.google.com/books/content?id=Vj7A9jJrZP0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2000
NASA Technical Translation,,,http://books.google.com/books/content?id=yKSX1px2Fo4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Science,1959
The Economics of Science and Technology,"M.P. Feldman, Albert N. Link, Donald S. Siegel","Much of this literature is new, so the time is ripe for a synthesis and critique of existing studies."" ""The book offers an overview presented from an applied perspective, stressing historical and institutional factors. This book will be particularly useful to students interested in pursuing research on these topics and to policy makers who want a user-friendly summary of recent studies on the economic implications of technology policy.""--BOOK JACKET.",http://books.google.com/books/content?id=5LPY70TI79UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2002
Computer-controlled Systems,"Karl Johan Åström, Björn Wittenmark","This book provides a balanced survey of theory and practical aspects of computer-controlled systems.Design methods and practical aspects of computer controlled systems are presented. Interactive use of MATLAB and Simulink macros to understand the theory. Presents extensive pedagogical aids, such as worked examples, MATLAB macros, solutions manual, and problems to facilitate understanding.",http://books.google.com/books/content?id=5Z0QAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Technology & Engineering,1997
Engineering and the Liberal Arts,Samuel C. Florman,,http://books.google.com/books/content?id=TWFRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Education,1968
NBSIR.,,,http://books.google.com/books/content?id=GAJRAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Research, Industrial",1973
Positive Computing,"Rafael A. Calvo, Dorian Peters","A case for building a digital environment that can make us happier and healthier, not just more productive, and a theoretical framework for doing so.",http://books.google.com/books/content?id=3Y6ZBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Computers,2014
"A Dictionary of Arts, Manufactures, and Mines",Andrew Ure,,http://books.google.com/books/content?id=bTRRAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Industrial arts,1853
Information Sources in Science and Technology,"Christopher Charles Parker, Raymond Victor Turley",,http://books.google.com/books/content?id=u35QAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Science,1986
The Electronics Revolution,J.B. Williams,"This book is about how electronics, computing, and telecommunications have profoundly changed our lives – the way we work, live, and play. It covers a myriad of topics from the invention of the fundamental devices, and integrated circuits, through radio and television, to computers, mobile telephones and GPS. Today our lives are ruled by electronics as they control the home and computers dominate the workspace. We walk around with mobile phones and communicate by email. Electronics didn’t exist until into the twentieth century. The industrial revolution is the term usually applied to the coming of steam, railways and the factory system. In the twentieth century, it is electronics that has changed the way we gather our information, entertain ourselves, communicate and work. This book demonstrates that this is, in fact, another revolution.",http://books.google.com/books/content?id=v4QlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Technology & Engineering,2017
Visions Of Technology,Richard Rhodes,A collection of writings that discuss how technology has changed society and whether or not those changes have been beneficial.,http://books.google.com/books/content?id=xDYYiwYKB5sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Science,2000
The Shaping of Indian Science: 1914-1947,,"This is a compendium of the speeches of the Presidents of the Indian Science Congress Association (ISCA) from 1914-2003. Through the years, these Presidents have inspired the Congress by their speeches-some of them visionary, some impassioned in their plea for Science, but all of them with a message that Science must be used for the good of the human race.",http://books.google.com/books/content?id=ccOgr1XNE2kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Indian Science Congress,2003
Industrial Arts Index,,,http://books.google.com/books/content?id=KQA6AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Engineering,1929
Postphenomenology,Don Ihde,"Postphenomenology is a fascinating investigation of the relationships between global culture and technology. The impressive range of subjects to which Don Ihde applies his skill as a phenomenologist is unified by what he describes as ""a concern which arises with respect to one of the now major trends of Euro-American philosophy--its textism."" He adds, ""I show my worries to be less about the loss of subjects or authors, than I do about [there] not being bodies or perceivers.""",http://books.google.com/books/content?id=l49PYEDFSbgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,1995
The Unabomber Manifesto,Theodore John Kaczynski,,http://books.google.com/books/content?id=ckfJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Radicalism,2023
The Instinct of Workmanship,Thorstein Veblen,,http://books.google.com/books/content?id=xhjkb-Q2ZyUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Industrial arts,1922
A History of Technoscience,David F. Channell,"Are science and technology independent of one another? Is technology dependent upon science, and if so, how is it dependent? Is science dependent upon technology, and if so how is it dependent? Or, are science and technology becoming so interdependent that the line dividing them has become totally erased? This book charts the history of technoscience from the late nineteenth century to the end of the twentieth century and shows how the military–industrial–academic complex and big science combined to create new examples of technoscience in such areas as the nuclear arms race, the space race, the digital age, and the new worlds of nanotechnology and biotechnology.",http://books.google.com/books/content?id=uf8nDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History,2017
Empowerment of Women Through Self Help Groups,G. Sreeramulu,"The book is an in-depth study of Empowerment of Women Through Self Help Groups. It covers the problems and perspectives of Self Help Groups and suggest several measures. The study has evaluated the implementation of several schemes in Anantapur District in particular and in Andhra Pradesh in general such as rearing goats, dairying, petty business activities, making of soft toys and so on. The findings are very much encouraging, such as Women are now managing their families, Panchayat Raj Institutions, are able to concentrate on their children s education and health. Contents include: Introduction, Public Policy Theoretical Perspectives, Evaluation, Aims and Objectctives of Self Help Groups in Anantapur District, Socio-Economic Background of the Sample Study, Problems and perspectives of Self Help Groups, Performance of Self Help Groups and Conclusion. This outstanding Text-cum-Reference book will be of great use to Scholars, Administrators, Planners, Policy-makers, Statesmen and Students of Political Science, Economics, Sociology, Commerce and Women Studites.",http://books.google.com/books/content?id=Mmtn9-YpF6EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Political Science,2006
Reasons Without Persons,Brian Hedden,"Brian Hedden defends a radical view about rationality, personal identity, and time. He argues that what it is rational to do should not depend on your past beliefs or actions, which are not part of your current perspective on the world. His impersonal approach holds that what rationality demands of you is solely determined by your evidence.",http://books.google.com/books/content?id=NMerCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2015
Dual-Process Theories in Moral Psychology,Cordula Brand,"This anthology offers a unique collection of contributions focusing on the discussion about the so-called dual-process theories within the field of moral psychology. In general, dual-process theories state that in cognitive systems, two sorts of processes can be differentiated: an affective, associative process and an analytical, rule-based process. This distinction recently entered the debate on the relationship between intuitive and rational approaches to explaining the phenomenon of moral judgment. The increasing interest in these theories raises questions concerning their general impact on social contexts. The anthology aims at presenting stepping-stones of an analysis of the merits and drawbacks of this development. For that purpose, the authors discuss general questions concerning the relationship between ethics and empirical sciences, methodological questions, reassessments of established terminology and societal implications of dual-process theories in moral psychology.",http://books.google.com/books/content?id=nQ3NCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2016
Ego Analysis in the Helping Professions,Frances Upham,,http://books.google.com/books/content?id=OAVHAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Psychology,1973
The Oxford Handbook of Hypo-egoic Phenomena,"Kirk Warren Brown, Mark R. Leary","Egoicism, a mindset that places primary focus upon oneself, is rampant in contemporary Western cultures as commercial advertisements, popular books, song lyrics, and mobile apps consistently promote self-interest. Consequently, researchers have begun to address the psychological, interpersonal, and broader societal costs of excessive egoicism and to investigate alternatives to a ""me and mine first"" mindset. For centuries, scholars, spiritual leaders, and social activists have advocated a ""hypo-egoic"" way of being that is characterized by less self-concern in favor of a more inclusive ""we first"" mode of functioning. In recent years, investigations of hypo-egoic functioning have been examined by psychologists, cognitive scientists, neuroscientists, and philosophers. Edited by Kirk Warren Brown and Mark R. Leary, The Oxford Handbook of Hypo-egoic Phenomena brings together an expert group of contributors to examine these groundbreaking lines of inquiry, distilling current knowledge about hypo-egoicism into an exceptional resource. In this volume, readers will fi nd theoretical perspectives from philosophy and several major branches of psychology to inform our understanding of the nature of hypo-egoicism and its expressions in various domains of life. Further, readers will encounter psychological research discoveries about particular phenomena in which hypo-egoicism is a prominent feature, demonstrating its implications for well-being, regulation of emotion, adaptive decision-making, positive social relations, and other markers of human happiness, well-being, and health. This Handbook offers the most comprehensive and thoughtful analyses of hypo-egoicism to date.",http://books.google.com/books/content?id=jn3SDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2017
Revisiting the Use of Self,Deena Mandell,"Offers the reader a historical/developmental overview of the concept of 'use of self' and explores its adequacy for contemporary ethical practice. This book provides the reader with first-person, practitioners' accounts of their own 'use of self' in examples of reflective practice approaches. It broadens the scope of the concept of 'use of self'.",http://books.google.com/books/content?id=R9hgnEV6RfsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Political Science,2007
Constructing the Self in a Mediated World,"Debra Grodin, Thomas R. Lindlof","In today′s media-saturated world, identities are no longer built solely within the close-knit communities of family, neighborhood, school, and work. Today media are part of our world and therefore play an important role in the formulations of our identities or constructions of self. In a truly postmodern mode, Constructing the Self in a Mediated World not only brings together the usually segregated areas of interpersonal and mass communication but also incorporates works from scholars in sociology, psychology, and women′s studies as well. Each essay examines our understanding of self in a different context of mediated culture within a specific framework of interpretive theories such as critical theory, social constructionist theory, and feminism. This volume provides insights into issues of self and identity in contemporary mediated culture. Designed for advanced students and experienced researchers in communication (both media and interpersonal), sociology, psychology, and women′s studies. Constructing the Self in a Mediated World raises important questions and contributes greatly to its field.",http://books.google.com/books/content?id=QZU5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Language Arts & Disciplines,1996
Relational Anthropology for Contemporary Economics,"Jermo van Nes, Patrick Nullens, Steven C. van den Heuvel","This open access book offers a multidisciplinary dialogue on relational anthropology in contemporary economics. A particular view of the human being is often assumed in economic models, but seldom acknowledged let alone explicated. Addressing this neglected area of research in economic studies, altogether the contributors touch upon the importance and potential of virtues, the notions of freedom and self-love, the potential of simulation models, the dialectics of love, and questions of methodology in constructing a relational anthropology for contemporary economics. The overall result is a highly informative and constructive dialogue, establishing inter alia a research agenda for future collaborative and multidisciplinary study.",http://books.google.com/books/content?id=GYxaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2022
Pride and Authenticity,Ulrich Steinvorth,"This book explores the morality of pride, a value that has been condemned through history and is still largely unwelcome in many societies. The author explores the nature of the self and free will, and how pride links to technology and rational theology. It refers to the work of Lionel Trilling, Allan Bloom, Charles Taylor and Heidegger on authenticity; Jacob Burckhardt, Stephen Toulmin, Max Weber and Mark Lilla on modernity; Christine Korsgaard on the self; John Rawls and Ruth Benedict on morality; and the Stoics and Kant on free will.",http://books.google.com/books/content?id=2gQtDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy,2016
Falling Awake,Todd L. Blattner,"Waking is a natural shift from unconsciousness to awareness. Falling awake is a special case of waking where we relax out of old patterns, ease out of resistance, and surrender to the grace and love that are always present beneath the surface of appearances. Although falling awake, like falling asleep, cannot be forced, it can be prepared for. Integrating perspectives from physical, social and psychological sciences, philosophy, religion and energy awareness, and calling on many years of experience as a teacher, counsellor and Buddhist monk, Blattner takes us step by step into an expanded understanding of the universe in which we live, the mind/body system that we call ""self "", and that which may lie beyond. With gentleness and kindness, Falling Awake shows us how to move beyond the programs and limiting belief systems that support the problems in our lives, and awaken into an increasingly gentle, joyful, and expanded experience of the art of living....",http://books.google.com/books/content?id=0YO7DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Self-Help,2016
Living Consciously: the Science of Self,John Morris Dorsey,,http://books.google.com/books/content?id=FhFm1QjPjpQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Self,1970
Dreambody,Arnold Mindell,"Bridging the gaps between depth psychology, somatic psychology, spirituality, and energy-based mind-body practices, ""Dreambody"" is the foundational introduction to process-oriented psychology, by its founder Mindell, an MIT physicist and Jungian analyst.",http://books.google.com/books/content?id=d8ONBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Health & Fitness,2011
Self-Determination Theory and Healthy Aging,"Betsy Ng, Gloria Ho","This book pioneers evidence-based research on healthy aging through the application of self determination theory (SDT). Its uniqueness is located in the fact that to date, no other work has applied SDT to the empirical study of aging populations. The authors focus on how SDT drives healthy, successful and active aging, and note that the motivation factors underpinning healthy aging are often neglected, or altogether absent, in the existing literature. This edited volume is particularly timely given the expanding aging crisis in many North American, European and Asian contexts. The collection of chapters meets this challenge head-on in comparing these contexts vis-a-vis a broad international scope, and subsequent discussions on important specialty issues in aging, such as hearing and memory loss. The work offers global perspectives on aging, autonomy and associated life challenges, as well as factors relating to the sustainability of healthy aging in terms of physical and mental well-being. This book will be highly relevant to researchers in the SDT community, as well as specialists in aging and gerontology. It will also be of interest to lifespan psychologists and developmental psychologists.",http://books.google.com/books/content?id=BFMEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Family & Relationships,2020
Medical Identities,Kent Maynard,"Illness and misfortune more broadly are ubiquitous; thus, healing roles or professions are also universal. Ironically, however, little attention has been paid to those who heal or promote wellbeing. These come in many different guises: in some societies, healing is highly professional and specialized; in some cases, it is more preventative, in others more interventionist. Based on rich and wide-ranging ethnographic data and especially written for this volume, these essays look at how a great variety of health providers are perceived - from traditional healers to physicians, from diviners to nursing home providers. Conversely, the authors also ask how healers, or those concerned with wider matters of well being, view themselves and to what degree social attitudes differ in regard to who these people are, as well as their power, prestige and activities. As these essays demonstrate, class, gender, sexuality, ethnicity, or state policy may all play formative roles in shaping the definition of health and wellbeing, how they are delivered, and the character and prestige of those who provide for our health and welfare in society.",http://books.google.com/books/content?id=yMe8X7iFjjkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Business & Economics,2007
Sacred Selfishness,Bud Harris,"While growing up, selfishness is defined for most people as a destructive force -- power-driven, self-obsessed, a tyranny against others, and a drain on energy. Early lessons teach that the needs of others must be put above one's own. This has created a culture of outward-directed people, cut off from the inner sources of energy and vitality. Failing to develop one's individuality can eventually lead to depression and ill health. Only after becoming whole can one help others as well as society. This is the lesson of Sacred Selfishness, in which Jungian analyst Bud Harris argues persuasively that one must live authentically in order to be whole, happy, healthy, and a truly contributing member of society. This essential guide offers many strategies readers can use in order to live a ""sacredly selfish"" life, from analyzing dreams to keeping a detailed journal that teaches seekers to understand themselves, their worth, and their needs.",http://books.google.com/books/content?id=_axCrxzgUU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Body, Mind & Spirit",2005
